EventID,Timestamp,Protocal,Source IP,Source Port,Destination IP,Destination Port
0,2024-12-21 16:48:18,udp,192.168.43.13,54259,192.168.43.41,19998
1,2024-12-21 16:48:18,udp,192.168.43.13,54259,192.168.43.41,944
2,2024-12-21 16:48:18,udp,192.168.43.13,54259,192.168.43.41,4444
3,2024-12-21 16:48:18,udp,192.168.43.13,54259,192.168.43.41,21366
4,2024-12-21 16:48:18,udp,192.168.43.13,54259,192.168.43.41,20752
5,2024-12-21 16:48:18,udp,192.168.43.13,54259,192.168.43.41,44160
6,2024-12-21 16:48:18,udp,192.168.43.13,54259,192.168.43.41,31335
7,2024-12-21 16:48:18,udp,192.168.43.13,54259,192.168.43.41,6004
8,2024-12-21 16:48:18,udp,192.168.43.13,54259,192.168.43.41,1646
9,2024-12-21 16:48:18,udp,192.168.43.13,54259,192.168.43.41,19374
10,2024-12-21 16:48:18,icmp,192.168.43.41,,192.168.43.13,
11,2024-12-21 16:48:18,icmp,192.168.43.41,,192.168.43.13,
12,2024-12-21 16:48:18,icmp,192.168.43.41,,192.168.43.13,
13,2024-12-21 16:48:18,icmp,192.168.43.41,,192.168.43.13,
14,2024-12-21 16:48:18,icmp,192.168.43.41,,192.168.43.13,
15,2024-12-21 16:48:18,icmp,192.168.43.41,,192.168.43.13,
16,2024-12-21 16:48:18,udp,192.168.43.13,54259,192.168.43.41,1056
17,2024-12-21 16:48:18,udp,192.168.43.13,54259,192.168.43.41,20445
18,2024-12-21 16:48:18,udp,192.168.43.13,54259,192.168.43.41,41308
19,2024-12-21 16:48:18,udp,192.168.43.13,54259,192.168.43.41,42577
20,2024-12-21 16:48:18,udp,192.168.43.13,54259,192.168.43.41,1087
21,2024-12-21 16:48:18,udp,192.168.43.13,54259,192.168.43.41,20279
22,2024-12-21 16:48:18,udp,192.168.43.13,54259,192.168.43.41,40539
23,2024-12-21 16:48:18,udp,192.168.43.13,54259,192.168.43.41,18617
24,2024-12-21 16:48:18,udp,192.168.43.13,54259,192.168.43.41,19717
25,2024-12-21 16:48:18,udp,192.168.43.13,54259,192.168.43.41,27473
26,2024-12-21 16:48:18,udp,192.168.43.13,54259,192.168.43.41,16779
27,2024-12-21 16:48:18,udp,192.168.43.13,54259,192.168.43.41,58075
28,2024-12-21 16:48:18,udp,192.168.43.13,54259,192.168.43.41,19022
29,2024-12-21 16:48:18,udp,192.168.43.13,54259,192.168.43.41,4000
30,2024-12-21 16:48:18,udp,192.168.43.13,54259,192.168.43.41,49174
31,2024-12-21 16:48:18,udp,192.168.43.13,54259,192.168.43.41,43514
32,2024-12-21 16:48:18,udp,192.168.43.13,54259,192.168.43.41,50708
33,2024-12-21 16:48:18,udp,192.168.43.13,54259,192.168.43.41,7938
34,2024-12-21 16:48:18,udp,192.168.43.13,54259,192.168.43.41,49173
35,2024-12-21 16:48:18,udp,192.168.43.13,54260,192.168.43.41,19717
36,2024-12-21 16:48:18,udp,192.168.43.13,54260,192.168.43.41,18617
37,2024-12-21 16:48:18,udp,192.168.43.13,54260,192.168.43.41,58075
38,2024-12-21 16:48:18,udp,192.168.43.13,54260,192.168.43.41,40539
39,2024-12-21 16:48:18,udp,192.168.43.13,54260,192.168.43.41,20279
40,2024-12-21 16:48:18,udp,192.168.43.13,54260,192.168.43.41,16779
41,2024-12-21 16:48:18,udp,192.168.43.13,54260,192.168.43.41,1087
42,2024-12-21 16:48:18,udp,192.168.43.13,54260,192.168.43.41,27473
43,2024-12-21 16:48:18,udp,192.168.43.13,54260,192.168.43.41,20445
44,2024-12-21 16:48:18,udp,192.168.43.13,54260,192.168.43.41,19022
45,2024-12-21 16:48:18,udp,192.168.43.13,54260,192.168.43.41,49174
46,2024-12-21 16:48:18,udp,192.168.43.13,54260,192.168.43.41,7938
47,2024-12-21 16:48:18,udp,192.168.43.13,54260,192.168.43.41,4000
48,2024-12-21 16:48:18,udp,192.168.43.13,54260,192.168.43.41,43514
49,2024-12-21 16:48:18,udp,192.168.43.13,54260,192.168.43.41,50708
50,2024-12-21 16:48:18,udp,192.168.43.13,54260,192.168.43.41,49173
51,2024-12-21 16:48:18,udp,192.168.43.13,54260,192.168.43.41,19374
52,2024-12-21 16:48:18,udp,192.168.43.13,54260,192.168.43.41,1056
53,2024-12-21 16:48:18,udp,192.168.43.13,54260,192.168.43.41,41308
54,2024-12-21 16:48:18,udp,192.168.43.13,54260,192.168.43.41,42577
55,2024-12-21 16:48:18,udp,192.168.43.13,54260,192.168.43.41,1646
56,2024-12-21 16:48:18,udp,192.168.43.13,54260,192.168.43.41,6004
57,2024-12-21 16:48:18,udp,192.168.43.13,54260,192.168.43.41,31335
58,2024-12-21 16:48:18,udp,192.168.43.13,54259,192.168.43.41,2148
